Degree,Field_of_Study,University_GPA,Certifications,Internships_Completed,Job_Role
M.Sc,Chemistry (M.Sc),6.96,Scrum Master,0,Statistician
B.Tech,Food Technology,6.11,Six Sigma,0,Food Safety Officer
M.Tech,Manufacturing Engineering,6.53,React,1,Robotics System Architect
B.Sc,Nutrition & Dietetics,9.86,React,3,Clinical Research Associate
B.Tech,Information Technology,7.22,Python,3,Full Stack Developer
,Communication Design,6.62,,0,Fashion Stylist
M.Sc,Computer Science (M.Sc),7.67,None,0,Clinical Psychologist
B.Sc,Psychology,9.6,None,3,Clinical Research Associate
B.A,English,8.97,React,0,Psychologist
B.Tech,Mechatronics Engineering,8.84,AutoCAD,0,Biomedical Engineer
BBA,Finance,7.62,Six Sigma,0,HR Generalist
,Manufacturing Engineering,8.4,CFA,2,Senior Data Scientist
B.Tech,Instrumentation Engineering,9.43,Python,3,VLSI Design Engineer
B.Tech,Electrical & Electronics Engineering,8.61,AWS,3,Embedded Systems Engineer
M.Sc,Statistics (M.Sc),9.49,Python,3,Senior Researcher
MBA,Digital Marketing (Advanced),6.03,None,1,Business Development Manager
M.Sc,Microbiology (M.Sc),8.52,AWS,3,Data Engineer
B.Com,Economics,8.0,AWS,2,Financial Auditor
B.Tech,Biotechnology,7.95,AWS,3,Automotive Design Engineer
M.Tech,Robotics,6.36,Scrum Master,1,Robotics System Architect
B.A,English,6.01,Scrum Master,2,Social Worker
B.Sc,Data Science,7.34,CPA,0,Data Analyst
B.Tech,Metallurgical Engineering,6.45,Six Sigma,3,Site Supervisor
B.Tech,AI & Machine Learning,6.95,Python,2,System Engineer
B.Tech,Production Engineering,8.57,AutoCAD,3,Structural Engineer
BBA,Digital Marketing,8.4,None,3,Marketing Executive
M.Tech,Computer Science Engineering (Masters),6.78,CPA,2,Robotics System Architect
B.Tech,Agriculture Engineering,6.61,AWS,2,Food Safety Officer
B.Des,Game Design,7.63,AWS,1,Fashion Stylist
B.A,Hindi,6.31,None,3,Social Worker
B.Tech,Electronics & Communication Engineering,9.63,CPA,3,VLSI Design Engineer
B.A,Economics,9.43,AutoCAD,1,Content Writer
B.Tech,Chemical Engineering,6.31,Six Sigma,1,Site Supervisor
M.Tech,VLSI,7.92,Six Sigma,3,VLSI Architect
B.Tech,AI & Machine Learning,6.81,Scrum Master,1,System Engineer
,Nutrition & Dietetics,6.59,Scrum Master,0,Dietician
B.Tech,Robotics & Automation,9.85,AutoCAD,3,Robotics Engineer
MBA,Digital Marketing (Advanced),6.9,AWS,1,Business Development Manager
B.Tech,AI & Machine Learning,7.05,Six Sigma,3,Full Stack Developer
M.Sc,Artificial Intelligence (M.Sc),8.39,Scrum Master,3,Data Engineer
B.Sc,Statistics,6.48,AutoCAD,0,Forensic Expert
M.Tech,Robotics,8.11,Scrum Master,3,Senior Data Scientist
B.Des,Animation & Multimedia,7.91,CPA,2,Fashion Stylist
B.Tech,Mining Engineering,9.85,AutoCAD,2,Project Manager
B.A,Economics,7.18,None,2,Policy Analyst
B.A,Hindi,9.03,None,3,Content Writer
,Data Science,6.58,Google Analytics,2,Full Stack Developer
B.A,Tamil,7.76,Python,1,Policy Analyst
B.Tech,Electronics & Communication Engineering,7.84,AWS,1,Control Systems Engineer
M.Sc,Agriculture (M.Sc),8.46,None,3,Data Engineer
M.Sc,Electronics (M.Sc),8.34,AWS,2,Data Engineer
M.Tech,Mechanical Design,6.08,Java,3,Robotics System Architect
B.Tech,Chemical Engineering,6.39,CPA,3,Site Supervisor
BBA,Digital Marketing,6.68,Python,2,Sales Manager
M.Tech,Environmental Engineering (Masters),9.68,React,0,R&D Engineer
B.Sc,Computer Science,9.46,Python,0,Software Developer
B.Com,Taxation,7.2,None,0,Tax Consultant
M.Tech,Embedded Systems,9.55,None,3,R&D Engineer
B.Com,Accounting & Finance,6.42,Python,3,Bank Officer
B.Sc,Artificial Intelligence,6.27,Scrum Master,2,Forensic Expert
B.Tech,Metallurgical Engineering,7.67,Scrum Master,2,Process Engineer
M.Sc,Artificial Intelligence (M.Sc),7.77,Six Sigma,0,Clinical Psychologist
B.Sc,Biotechnology,6.68,Scrum Master,0,Registered Nurse
BBA,Human Resource Management,6.97,AutoCAD,0,Sales Manager
M.Sc,Forensic Science (M.Sc),6.57,CPA,0,Statistician
B.Tech,Automobile Engineering,6.9,Java,0,Food Safety Officer
M.Tech,Structural Engineering,8.53,Six Sigma,0,Senior Data Scientist
B.Com,Economics,7.52,None,3,Tax Consultant
B.Com,Computer Applications,7.04,None,3,Tax Consultant
M.Tech,Computer Science Engineering (Masters),8.99,None,0,Senior Data Scientist
B.Tech,Data Science,7.76,Java,1,Full Stack Developer
B.Sc,Agriculture,8.17,AutoCAD,2,Microbiologist
B.Tech,Aeronautical Engineering,7.27,Scrum Master,3,Automotive Design Engineer
B.Sc,Psychology,7.92,Java,2,Dietician
M.Sc,Mathematics (M.Sc),7.85,React,3,Clinical Psychologist
MBA,Healthcare Management (Advanced),6.65,AWS,1,Agri-Business Manager
B.Des,Game Design,7.68,React,2,Fashion Stylist
B.Tech,Cybersecurity,7.93,CPA,1,Full Stack Developer
M.Sc,Information Technology (M.Sc),7.31,Six Sigma,0,Clinical Psychologist
B.A,Fine Arts,8.32,Java,0,Public Relations Officer
B.Sc,Electronics,8.05,None,0,Lab Technician
B.Des,Animation & Multimedia,7.76,Java,3,Fashion Stylist
M.Sc,Environmental Science (M.Sc),6.08,Six Sigma,1,Statistician
M.Sc,Microbiology (M.Sc),8.65,Python,2,Data Engineer
MBA,Human Resource (Advanced),6.94,CPA,0,Business Development Manager
B.Tech,Petroleum Engineering,8.35,None,2,Biomedical Engineer
M.Tech,Computer Science Engineering (Masters),8.29,None,1,Senior Data Scientist
B.Sc,Physics,7.71,CPA,2,Data Analyst
M.Tech,Data Science (Masters),7.01,Python,0,VLSI Architect
,Retail Management (Advanced),8.1,Six Sigma,1,Hospital Administrator
B.Sc,Electronics,6.78,None,1,Forensic Expert
M.Tech,Structural Engineering,9.1,Six Sigma,0,R&D Engineer
B.Sc,Artificial Intelligence,9.17,Scrum Master,1,Software Developer
B.A,Public Administration,6.31,AutoCAD,0,Media Planner
B.Tech,Electronics & Communication Engineering,8.42,Python,0,Embedded Systems Engineer
B.Des,UI/UX Design,9.18,Python,2,UI/UX Designer
M.Sc,Data Science (M.Sc),7.01,React,2,Clinical Psychologist
M.Tech,Computer Science Engineering (Masters),6.65,React,2,Robotics System Architect
BBA,Business Analytics,8.23,AWS,1,Marketing Executive
M.Sc,Chemistry (M.Sc),9.57,AutoCAD,0,Senior Researcher
MBA,Aviation Management (Advanced),9.31,React,2,Supply Chain Manager
B.Des,Graphic Design,6.81,Python,0,Interior Architect
M.Sc,Computer Science (M.Sc),6.19,Java,0,Statistician
B.Tech,Production Engineering,6.84,AutoCAD,3,Site Supervisor
B.Tech,Biomedical Engineering,6.22,Scrum Master,0,Food Safety Officer
B.Des,Interior Design,9.77,AutoCAD,2,UI/UX Designer
MBA,Marketing (Advanced),6.74,Scrum Master,0,Business Development Manager
B.A,Sanskrit,9.58,CPA,2,Content Writer
B.Com,Taxation,8.52,None,1,Financial Auditor
B.Com,Economics,6.26,Scrum Master,0,Bank Officer
B.Sc,Biotechnology,9.81,React,1,Clinical Research Associate
,Philosophy,7.07,React,0,Policy Analyst
M.Tech,Embedded Systems,9.36,Java,1,R&D Engineer
B.Com,Financial Markets,9.44,AutoCAD,0,Chartered Accountant
B.A,Public Administration,6.35,React,1,Media Planner
M.Sc,Forensic Science (M.Sc),7.69,Java,0,Clinical Psychologist
B.Sc,Fashion Design,6.17,Java,3,Registered Nurse
B.Sc,Biotechnology,8.56,React,1,Microbiologist
B.A,English,7.86,Scrum Master,3,Policy Analyst
B.Sc,Agriculture,8.83,Python,0,Microbiologist
B.A,Geography,8.57,None,3,Psychologist
B.Des,Textile Design,9.89,AutoCAD,1,UI/UX Designer
B.A,Economics,8.03,Java,2,Psychologist
B.Com,Business Analytics,6.76,Scrum Master,1,Bank Officer
B.Tech,Information Technology,9.7,AWS,3,AI Engineer
M.Tech,Mechanical Design,9.77,AWS,3,R&D Engineer
B.A,Economics,8.0,Python,0,Psychologist
B.Des,Textile Design,7.41,Six Sigma,3,Fashion Stylist
B.Tech,Data Science,9.12,None,0,AI Engineer
M.Sc,Forensic Science (M.Sc),6.88,None,0,Statistician
BBA,Finance,7.55,None,0,HR Generalist
M.Tech,Computer Science Engineering (Masters),8.51,Python,2,Senior Data Scientist
B.Sc,Fashion Design,7.58,React,1,Dietician
B.Tech,Information Technology,7.85,React,0,Full Stack Developer
B.A,Philosophy,6.26,AutoCAD,1,Social Worker
B.Des,Industrial Design,7.13,Java,3,Fashion Stylist
B.Sc,Data Science,7.7,CPA,1,Data Analyst
B.Com,Corporate Secretaryship,8.49,React,0,Financial Auditor
BBA,Digital Marketing,9.01,None,1,Business Analyst
B.Sc,Physics,7.2,Scrum Master,0,Data Analyst
M.Sc,Physics (M.Sc),6.3,React,2,Statistician
M.Tech,Artificial Intelligence (Masters),6.35,Python,0,Robotics System Architect
M.Tech,Robotics,9.73,AWS,3,R&D Engineer
B.Tech,Robotics & Automation,7.56,AWS,3,Automotive Design Engineer
B.A,History,9.02,React,0,Content Writer
B.Sc,Information Technology,6.09,AutoCAD,1,Forensic Expert
M.Tech,Computer Science Engineering (Masters),9.16,Python,2,R&D Engineer
MBA,Logistics & Supply Chain (Advanced),8.53,Java,3,Hospital Administrator
B.Tech,Food Technology,7.67,AWS,3,Automotive Design Engineer
M.Tech,Embedded Systems,8.66,Python,2,Senior Data Scientist
M.Tech,Robotics,9.85,Java,3,R&D Engineer
B.Des,Jewellery Design,7.39,Python,1,Fashion Stylist
B.Des,Industrial Design,9.42,Six Sigma,3,UI/UX Designer
M.Tech,Information Technology (Masters),7.58,React,0,VLSI Architect
MBA,Hospitality & Tourism (Advanced),9.53,AutoCAD,1,Supply Chain Manager
MBA,Operations Management (Advanced),7.61,AWS,3,HR Director
M.Tech,Robotics,6.31,AWS,3,Robotics System Architect
B.A,Performing Arts,6.71,None,2,Media Planner
BBA,Human Resource Management,8.15,Six Sigma,2,Marketing Executive
B.Tech,Civil Engineering,6.69,Six Sigma,1,Site Supervisor
B.A,Psychology,8.27,Java,3,Psychologist
BBA,Logistics & Supply Chain,8.33,AutoCAD,0,Marketing Executive
M.Tech,Robotics,9.03,Scrum Master,3,R&D Engineer
MBA,Hospitality & Tourism (Advanced),7.33,AutoCAD,2,Portfolio Manager
MBA,Hospitality & Tourism (Advanced),8.69,Six Sigma,3,Hospital Administrator
B.Sc,Nursing,6.75,None,3,Registered Nurse
M.Tech,Embedded Systems,6.95,AWS,0,Robotics System Architect
B.Tech,Computer Science Engineering,8.15,AutoCAD,1,Data Scientist
B.A,Public Administration,8.34,CPA,2,Public Relations Officer
B.Tech,Electronics & Communication Engineering,9.31,Java,1,VLSI Design Engineer
BBA,Human Resource Management,7.81,AWS,0,HR Generalist
MBA,Digital Marketing (Advanced),7.89,React,0,HR Director
BBA,Travel & Tourism,6.39,Java,3,Relationship Manager
M.Sc,Psychology (M.Sc),7.34,None,0,Clinical Psychologist
B.Sc,Information Technology,7.29,Scrum Master,1,Data Analyst
MBA,Human Resource (Advanced),8.11,React,1,Product Manager
M.Sc,Psychology (M.Sc),9.74,Java,3,Senior Researcher
B.Sc,Forensic Science,9.13,Six Sigma,3,Software Developer
B.Tech,Biotechnology,7.67,Python,2,Automotive Design Engineer
M.Tech,Cybersecurity (Masters),7.87,CPA,0,VLSI Architect
B.Sc,Agriculture,7.78,Python,1,Dietician
BBA,Marketing,8.56,None,1,Marketing Executive
B.Com,Banking & Insurance,6.83,None,3,Bank Officer
MBA,Entrepreneurship (Advanced),9.39,React,3,Investment Banker
B.Des,Product Design,9.6,Python,1,UI/UX Designer
B.Tech,Production Engineering,6.31,React,1,Site Supervisor
M.Tech,Information Technology (Masters),9.79,React,0,R&D Engineer
MBA,Business Analytics (Advanced),6.21,None,1,Business Development Manager
B.A,History,8.51,Java,0,Psychologist
M.Sc,Agriculture (M.Sc),9.37,Scrum Master,2,Senior Researcher
B.A,Sanskrit,7.91,AutoCAD,0,Policy Analyst
M.Sc,Electronics (M.Sc),8.81,Python,0,Data Engineer
BBA,Human Resource Management,8.91,React,2,Marketing Executive
B.Sc,Statistics,7.7,Python,2,Data Analyst
BBA,Logistics & Supply Chain,8.6,CPA,1,Marketing Executive
B.Tech,Production Engineering,7.88,React,3,Process Engineer
BBA,Travel & Tourism,8.01,None,2,Retail Store Manager
M.Sc,Statistics (M.Sc),6.56,None,1,Statistician
B.Des,Industrial Design,6.67,Python,3,Interior Architect
B.Tech,Biomedical Engineering,7.97,React,0,Automotive Design Engineer
B.Sc,Statistics,7.34,AWS,3,Data Analyst
MBA,Banking & Financial Services,6.12,AutoCAD,0,Agri-Business Manager
MBA,International Business (Advanced),8.88,CPA,1,Product Manager
B.Com,International Business,9.73,Six Sigma,0,Chartered Accountant
BBA,Hospitality Management,6.55,Six Sigma,0,Relationship Manager
M.Sc,Microbiology (M.Sc),8.87,Python,1,Data Engineer
B.Des,Product Design,7.22,Scrum Master,1,Fashion Stylist
B.A,Tamil,6.36,None,0,Social Worker
M.Sc,Agriculture (M.Sc),7.94,Java,3,Clinical Psychologist
BBA,International Business,8.53,None,2,Marketing Executive
M.Sc,Mathematics (M.Sc),6.04,Java,0,Statistician
B.Tech,Petroleum Engineering,8.98,React,3,Biomedical Engineer
MBA,Marketing (Advanced),7.82,Six Sigma,0,HR Director
B.Des,Fashion Design,9.25,Scrum Master,1,UI/UX Designer
MBA,Business Analytics (Advanced),8.09,AutoCAD,1,Product Manager
M.Sc,Data Science (M.Sc),8.37,AutoCAD,0,Data Engineer
B.Des,Textile Design,8.22,AWS,1,Product Designer
B.A,Tamil,9.82,CPA,3,Content Writer
MBA,International Business (Advanced),6.69,Python,1,Business Development Manager
,Agriculture Engineering,6.07,Google Analytics,2,Food Safety Officer
B.Tech,Biotechnology,8.09,React,1,Biomedical Engineer
B.Tech,Electrical & Electronics Engineering,9.09,AWS,0,VLSI Design Engineer
M.Sc,Environmental Science (M.Sc),8.6,Python,1,Data Engineer
B.Tech,Metallurgical Engineering,7.37,Java,2,Process Engineer
B.Tech,Cybersecurity,9.47,React,1,AI Engineer
B.Tech,Petroleum Engineering,8.52,Scrum Master,1,Biomedical Engineer
M.Tech,Cybersecurity (Masters),8.99,React,2,Senior Data Scientist
B.Com,Taxation,6.02,AutoCAD,3,Bank Officer
BBA,Hospitality Management,7.65,React,3,Aviation Operations Manager
B.Sc,Agriculture,7.97,AWS,2,Dietician
,Cybersecurity (Masters),8.67,C++,2,R&D Engineer
BBA,Entrepreneurship,8.27,Scrum Master,2,Marketing Executive
M.Tech,Transportation Engineering,7.46,Scrum Master,1,VLSI Architect
B.A,History,9.34,Python,2,Content Writer
B.Tech,Computer Science Engineering,7.91,Six Sigma,2,Full Stack Developer
B.Des,UI/UX Design,7.11,AWS,3,Fashion Stylist
B.A,Hindi,6.37,React,3,Social Worker
B.Sc,Forensic Science,9.62,Java,0,Software Developer
B.Tech,Metallurgical Engineering,6.39,Java,2,Site Supervisor
M.Tech,Robotics,9.07,Python,0,R&D Engineer
M.Sc,Artificial Intelligence (M.Sc),9.46,CPA,1,Senior Researcher
BBA,Travel & Tourism,7.34,None,3,Aviation Operations Manager
MBA,Retail Management (Advanced),7.79,CPA,0,Portfolio Manager
MBA,Retail Management (Advanced),8.88,AutoCAD,0,Hospital Administrator
B.Tech,Aerospace Engineering,8.49,Python,3,Biomedical Engineer
B.Des,Interior Design,9.8,Python,0,UI/UX Designer
B.Sc,Information Technology,7.16,Java,0,Data Analyst
MBA,Banking & Financial Services,8.6,Scrum Master,1,Hospital Administrator
BBA,Entrepreneurship,8.54,Python,1,Marketing Executive
B.Sc,Chemistry,7.13,AutoCAD,0,Data Analyst
B.Tech,Mining Engineering,7.94,CPA,0,Process Engineer
B.A,Hindi,8.04,Python,1,Psychologist
B.Tech,Mechatronics Engineering,8.2,Six Sigma,1,Biomedical Engineer
B.Sc,Electronics,8.56,Python,0,Lab Technician
B.Tech,Instrumentation Engineering,6.13,Java,3,Maintenance Engineer
B.Des,UI/UX Design,6.03,Scrum Master,2,Interior Architect
BBA,Hospitality Management,6.51,Six Sigma,3,Relationship Manager
B.A,Sanskrit,6.42,AWS,2,Social Worker
B.Tech,Automobile Engineering,9.55,AWS,1,Robotics Engineer
BBA,Retail Management,6.85,AWS,0,Relationship Manager
MBA,Human Resource (Advanced),7.78,AWS,0,HR Director
M.Sc,Mathematics (M.Sc),8.25,CPA,2,Data Engineer
B.Com,Auditing,6.47,AutoCAD,1,Bank Officer
M.Tech,Cybersecurity (Masters),7.35,Scrum Master,1,VLSI Architect
B.Sc,Psychology,9.23,CPA,1,Clinical Research Associate
B.Tech,Environmental Engineering,7.47,Six Sigma,1,Automotive Design Engineer
B.Tech,Biomedical Engineering,9.31,React,3,Robotics Engineer
M.Tech,Embedded Systems,7.93,AutoCAD,2,VLSI Architect
MBA,Retail Management (Advanced),7.83,Python,0,Portfolio Manager
B.Sc,Artificial Intelligence,7.43,Six Sigma,3,Data Analyst
M.Tech,Information Technology (Masters),6.68,CPA,3,Robotics System Architect
B.Tech,Food Technology,8.22,Scrum Master,1,Biomedical Engineer
B.Sc,Artificial Intelligence,8.26,Python,0,Lab Technician
B.A,Geography,9.72,CPA,2,Content Writer
M.Sc,Forensic Science (M.Sc),9.39,Scrum Master,1,Senior Researcher
M.Sc,Environmental Science (M.Sc),7.82,AutoCAD,0,Clinical Psychologist
M.Tech,Environmental Engineering (Masters),7.3,Java,2,VLSI Architect
BBA,Marketing,7.28,Six Sigma,0,HR Generalist
M.Tech,Information Technology (Masters),6.22,AutoCAD,0,Robotics System Architect
B.Tech,Chemical Engineering,6.95,Six Sigma,3,Site Supervisor
B.Des,Jewellery Design,8.09,Java,2,Product Designer
B.Com,Accounting & Finance,6.25,Six Sigma,3,Bank Officer
BBA,International Business,6.8,AWS,3,Sales Manager
M.Sc,Electronics (M.Sc),6.58,AutoCAD,0,Statistician
BBA,Aviation Management,9.22,Python,3,Hotel Manager
B.Tech,Petroleum Engineering,8.15,Python,2,Biomedical Engineer
M.Tech,Manufacturing Engineering,7.4,Java,1,VLSI Architect
BBA,Marketing,6.57,AutoCAD,0,Sales Manager
M.Sc,Agriculture (M.Sc),9.69,Python,3,Senior Researcher
M.Tech,Thermal Engineering,8.56,AutoCAD,1,Senior Data Scientist
B.A,English,9.16,AutoCAD,3,Content Writer
M.Tech,Information Technology (Masters),7.17,None,2,VLSI Architect
B.Des,Fashion Design,9.48,AutoCAD,1,UI/UX Designer
B.A,Performing Arts,6.85,AutoCAD,3,Media Planner
M.Sc,Biotechnology (M.Sc),9.78,Six Sigma,3,Senior Researcher
B.Sc,Psychology,7.58,AWS,0,Dietician
B.Tech,Data Science,7.96,Python,0,Full Stack Developer
M.Sc,Statistics (M.Sc),6.2,Six Sigma,1,Statistician
MBA,Business Analytics (Advanced),7.16,Python,3,HR Director
B.Com,International Business,7.13,AutoCAD,2,Tax Consultant
B.Com,Financial Markets,8.93,AutoCAD,3,Financial Auditor
B.Tech,Cybersecurity,7.15,AutoCAD,0,Full Stack Developer
M.Tech,Mechanical Design,9.41,React,0,R&D Engineer
BBA,Marketing,7.01,AutoCAD,3,HR Generalist
BBA,Business Analytics,8.47,Java,3,Marketing Executive
B.Sc,Chemistry,9.53,AWS,1,Software Developer
MBA,Human Resource (Advanced),7.85,Java,3,HR Director
MBA,Digital Marketing (Advanced),9.5,None,1,Investment Banker
B.Tech,Food Technology,8.5,Scrum Master,2,Biomedical Engineer
MBA,Finance (Advanced),6.55,Scrum Master,3,Business Development Manager
BBA,Travel & Tourism,6.22,AWS,0,Relationship Manager
B.A,Psychology,8.03,None,2,Psychologist
M.Tech,Cybersecurity (Masters),7.19,AWS,1,VLSI Architect
B.Sc,Information Technology,8.62,Scrum Master,2,Lab Technician
BBA,Retail Management,6.83,CPA,3,Relationship Manager
B.A,Political Science,6.42,None,3,Social Worker
B.Tech,Chemical Engineering,8.88,Scrum Master,2,Structural Engineer
MBA,Entrepreneurship (Advanced),8.66,Python,2,Product Manager
MBA,Business Analytics (Advanced),9.71,None,1,Investment Banker
M.Tech,Biotechnology (Masters),7.25,Six Sigma,1,VLSI Architect
B.Tech,Electrical Engineering,9.48,Scrum Master,1,VLSI Design Engineer
B.Sc,Data Science,6.67,React,1,Forensic Expert
BBA,Travel & Tourism,7.93,AWS,0,Aviation Operations Manager
MBA,International Business (Advanced),9.4,Six Sigma,2,Investment Banker
B.Tech,Cybersecurity,8.45,None,3,Data Scientist
B.Tech,Petroleum Engineering,8.45,Six Sigma,2,Biomedical Engineer
BBA,Business Analytics,9.72,None,2,Business Analyst
B.Des,Product Design,7.89,AWS,1,Fashion Stylist
B.Tech,Textile Engineering,6.51,React,2,Food Safety Officer
B.Tech,Biotechnology,8.05,AWS,0,Biomedical Engineer
M.Tech,Thermal Engineering,8.44,AWS,2,Senior Data Scientist
BBA,Digital Marketing,9.66,AWS,2,Business Analyst
MBA,Aviation Management (Advanced),7.47,Python,3,Portfolio Manager
MBA,Digital Marketing (Advanced),8.29,AWS,0,Product Manager
,Education,9.69,Python,2,Content Writer
B.A,Geography,7.99,AWS,2,Policy Analyst
M.Tech,Manufacturing Engineering,8.59,Java,3,Senior Data Scientist
B.A,Sanskrit,9.52,AutoCAD,2,Content Writer
B.A,Philosophy,9.82,Python,1,Content Writer
B.A,Sanskrit,6.91,Java,3,Social Worker
M.Tech,Manufacturing Engineering,8.65,CPA,3,Senior Data Scientist
M.Tech,VLSI,6.76,Scrum Master,0,Robotics System Architect
B.Tech,Mining Engineering,9.18,AWS,1,Project Manager
B.Tech,AI & Data Science,9.01,Java,2,AI Engineer
M.Tech,Environmental Engineering (Masters),8.85,Scrum Master,0,Senior Data Scientist
B.Sc,Statistics,6.37,AutoCAD,1,Forensic Expert
M.Sc,Chemistry (M.Sc),8.94,AutoCAD,2,Data Engineer
B.Des,Game Design,8.33,CPA,2,Product Designer
B.A,Public Administration,8.41,None,1,Public Relations Officer
B.Tech,Cybersecurity,7.08,Six Sigma,1,Full Stack Developer
B.Sc,Data Science,9.12,React,3,Software Developer
BBA,Retail Management,9.61,Six Sigma,1,Hotel Manager
B.Sc,Statistics,6.62,Scrum Master,0,Forensic Expert
B.Tech,Biotechnology,7.26,AutoCAD,1,Automotive Design Engineer
B.Sc,Electronics,6.63,React,3,Forensic Expert
BBA,Operations Management,7.97,Scrum Master,1,HR Generalist
B.Tech,Automobile Engineering,6.23,Six Sigma,1,Food Safety Officer
B.Com,Auditing,9.18,AutoCAD,1,Chartered Accountant
B.Tech,Mining Engineering,9.2,CPA,2,Project Manager
B.Tech,Food Technology,8.88,CPA,3,Biomedical Engineer
MBA,Aviation Management (Advanced),8.4,Scrum Master,1,Hospital Administrator
MBA,Logistics & Supply Chain (Advanced),6.31,AutoCAD,0,Agri-Business Manager
MBA,IT Management,9.41,Six Sigma,2,Investment Banker
M.Sc,Microbiology (M.Sc),7.44,Six Sigma,2,Clinical Psychologist
M.Tech,VLSI,8.69,React,1,Senior Data Scientist
MBA,Hospitality & Tourism (Advanced),7.61,Python,0,Portfolio Manager
B.Tech,Biotechnology,8.87,Scrum Master,1,Biomedical Engineer
BBA,Retail Management,8.88,Six Sigma,2,Retail Store Manager
B.A,Sanskrit,8.15,Scrum Master,3,Psychologist
B.Tech,Computer Science Engineering,7.8,Six Sigma,3,Full Stack Developer
B.Tech,Automobile Engineering,7.52,AutoCAD,1,Automotive Design Engineer
B.A,Psychology,9.41,Scrum Master,0,Content Writer
B.Sc,Information Technology,8.59,Six Sigma,3,Lab Technician
M.Sc,Food Science & Nutrition,9.22,React,3,Senior Researcher
B.Sc,Information Technology,9.71,Python,3,Software Developer
MBA,Aviation Management (Advanced),7.11,Six Sigma,1,Portfolio Manager
B.A,Performing Arts,7.74,CPA,0,Art Director
MBA,Logistics & Supply Chain (Advanced),8.65,Python,3,Hospital Administrator
B.Sc,Information Technology,9.7,Six Sigma,2,Software Developer
B.A,English,7.61,AWS,1,Policy Analyst
B.A,Hindi,9.37,Python,0,Content Writer
M.Sc,Biotechnology (M.Sc),9.67,React,2,Senior Researcher
M.Tech,Computer Science Engineering (Masters),9.88,Scrum Master,2,R&D Engineer
B.Com,International Business,8.07,None,1,Financial Auditor
M.Tech,Biotechnology (Masters),7.35,Scrum Master,0,VLSI Architect
M.Sc,Environmental Science (M.Sc),7.22,Scrum Master,0,Clinical Psychologist
B.Des,Animation & Multimedia,9.21,Python,3,UI/UX Designer
B.Com,Economics,8.43,Java,1,Financial Auditor
MBA,Human Resource (Advanced),9.85,CPA,2,Investment Banker
M.Tech,Power Systems,8.93,Six Sigma,3,Senior Data Scientist
BBA,International Business,7.96,AWS,1,HR Generalist
B.Tech,Automobile Engineering,8.26,React,1,Biomedical Engineer
B.Des,Industrial Design,8.34,AutoCAD,2,Product Designer
B.Com,Banking & Insurance,7.46,AutoCAD,2,Tax Consultant
BBA,Healthcare Management,6.05,CPA,1,Relationship Manager
B.Sc,Computer Science,6.35,AWS,3,Forensic Expert
M.Tech,Artificial Intelligence (Masters),8.56,Python,1,Senior Data Scientist
B.Sc,Psychology,7.31,AutoCAD,1,Dietician
B.Sc,Nutrition & Dietetics,7.97,AutoCAD,2,Dietician
B.Des,Game Design,8.91,React,1,Product Designer
B.Tech,AI & Machine Learning,7.8,AWS,3,Full Stack Developer
B.Tech,Mechanical Engineering,9.17,AutoCAD,3,Project Manager
B.Tech,Biomedical Engineering,8.33,Six Sigma,2,Biomedical Engineer
M.Tech,Biotechnology (Masters),7.3,AWS,1,VLSI Architect
M.Sc,Psychology (M.Sc),6.07,Java,0,Statistician
B.Com,Taxation,9.54,None,3,Chartered Accountant
M.Tech,Cybersecurity (Masters),9.58,None,2,R&D Engineer
BBA,Aviation Management,9.52,Six Sigma,0,Hotel Manager
B.Tech,Mechanical Engineering,7.11,Python,3,Process Engineer
BBA,Finance,7.08,Python,0,HR Generalist
BBA,Retail Management,8.71,Java,0,Retail Store Manager
B.Sc,Physics,9.06,Python,1,Software Developer
BBA,Human Resource Management,6.63,None,3,Sales Manager
M.Tech,Manufacturing Engineering,6.09,Six Sigma,2,Robotics System Architect
M.Sc,Environmental Science (M.Sc),6.97,React,0,Statistician
B.Com,Auditing,9.57,AutoCAD,3,Chartered Accountant
B.Com,Auditing,9.47,AWS,1,Chartered Accountant
B.Tech,Petroleum Engineering,7.03,Python,1,Automotive Design Engineer
B.Tech,Civil Engineering,6.3,AWS,0,Site Supervisor
B.Sc,Artificial Intelligence,6.79,Six Sigma,3,Forensic Expert
B.A,Public Administration,7.85,React,2,Art Director
B.A,Public Administration,7.95,React,3,Art Director
B.Tech,Food Technology,8.07,AWS,2,Biomedical Engineer
MBA,International Business (Advanced),6.57,Python,0,Business Development Manager
B.A,Education,7.07,Java,1,Policy Analyst
M.Tech,Environmental Engineering (Masters),8.43,AWS,2,Senior Data Scientist
B.Sc,Forensic Science,7.38,Java,1,Data Analyst
M.Tech,Robotics,9.39,AutoCAD,0,R&D Engineer
M.Tech,Information Technology (Masters),9.65,CPA,2,R&D Engineer
MBA,Agri-Business Management,9.07,Scrum Master,3,Supply Chain Manager
B.Sc,Forensic Science,6.63,CPA,0,Forensic Expert
B.A,Economics,9.86,Scrum Master,1,Content Writer
B.A,Performing Arts,9.35,None,3,Journalist
,Data Science (M.Sc),7.7,Python,2,Data Engineer
B.Tech,Food Technology,7.6,Scrum Master,1,Automotive Design Engineer
B.Des,Fashion Design,6.19,AutoCAD,2,Interior Architect
B.Tech,AI & Data Science,7.21,Java,0,Full Stack Developer
